pontoId,lat,lon,pathBTS1,pathBTS2,pathBTS3,pathBTS4,pathBTS5,pathBTS6,taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6
1709,-806.928,-34.888.081,128.09,135.856.666.666.667,130.49,123.156.666.666.667,109.023.333.333.333,128.656.666.666.667,0,1,4,1,0,1
332,-8.075.844,-34.894.093,110.456.666.666.667,115.39,119.256.666.666.667,113.356.666.666.667,127.59,138.956.666.666.667,1,0,2,0,2,2
481,-8.074.954,-34.891.327,120.79,125.59,124.723.333.333.333,100.323.333.333.333,128.49,146.323.333.333.333,1,0,3,0,1,2
664,-8.073.777,-34.898.407,116.34,102.24,93.69,105.99,130.84,132.39,1,0,1,0,2,2
2230,-8.066.914,-34.893.795,120.69,133.556.666.666.667,127.59,123.556.666.666.667,120.356.666.666.667,108.223.333.333.333,0,1,3,1,0,0
1743,-8.069.219,-34.900.543,122.156.666.666.667,123.756.666.666.667,119.09,122.69,131.29,118.123.333.333.333,1,1,2,1,2,1
1441,-8.069.989,-34.896.049,932.233.333.333.333,120.623.333.333.333,117.423.333.333.333,105.556.666.666.667,117.29,117.99,0,1,2,1,1,1
1047,-8.072.025,-34.892.227,115.99,124.94,129.89,106.44,98.39,128.99,0,0,3,0,1,1
570,-807.433,-34.900.322,124.39,113.69,111.24,127.19,138.84,137.59,1,1,1,1,2,2
32,-8.077.463,-34.899.136,120.69,83.79,122.115,124.89,130.94,138.315,2,0,1,0,3,2
2305,-8.066.428,-34.896.801,126.99,99.89,124.54,107.29,124.59,89.89,0,1,3,1,1,0
2950,-8.059.352,-34.906.792,139.59,118.44,135.49,131.84,139.54,132.59,3,4,3,4,3,2
2021,-8.068.479,-3.489.724,102.79,117.923.333.333.333,116.156.666.666.667,109.756.666.666.667,127.69,107.723.333.333.333,0,1,2,1,1,0
623,-8.074.086,-34.899.586,116.99,104.923.333.333.333,975.233.333.333.333,110.523.333.333.333,134.056.666.666.667,138.556.666.666.667,1,1,1,1,2,2
962,-8.072.454,-34.893.047,105.123.333.333.333,119.523.333.333.333,111.29,955.233.333.333.333,112.69,122.523.333.333.333,0,0,3,0,1,1
2786,-8.063.136,-34.897.278,129.94,95.19,121.24,96.39,127.99,110.94,1,2,3,2,1,0
2247,-8.066.821,-34.892.658,135.29,123.856.666.666.667,131.69,129.923.333.333.333,124.156.666.666.667,100.79,0,1,3,1,0,0
1452,-8.069.961,-34.897.476,108.49,118.456.666.666.667,122.223.333.333.333,116.723.333.333.333,123.456.666.666.667,107.89,1,1,2,1,1,1
171,-8.076.553,-3.489.967,121.69,107.223.333.333.333,121.39,127.69,136.69,138.823.333.333.333,2,1,1,1,2,2
1281,-8.070.624,-34.892.899,104.89,120.74,123.49,107.19,110.94,112.69,0,1,3,1,1,1
435,-8.075.356,-34.900.066,123.94,113.89,122.39,135.19,135.39,135.84,2,1,1,1,2,2
616,-8.074.121,-34.890.335,97.79,134.156.666.666.667,119.99,121.656.666.666.667,120.89,135.756.666.666.667,1,0,3,0,1,2
813,-8.072.907,-34.895.863,99.99,116.556.666.666.667,122.323.333.333.333,106.19,122.19,123.156.666.666.667,1,0,2,0,1,1
2573,-806.489,-34.889.542,137.09,133.69,132.623.333.333.333,131.556.666.666.667,127.656.666.666.667,133.49,0,2,4,2,0,1
2433,-8.065.796,-34.889.847,139.623.333.333.333,127.956.666.666.667,135.523.333.333.333,123.856.666.666.667,103.356.666.666.667,134.49,0,2,4,2,0,0
302,-8.075.984,-34.896.126,116.04,105.29,128.39,127.89,125.59,135.54,1,0,2,0,2,2
1825,-8.068.961,-34.895.958,108.44,121.29,117.24,108.89,115.04,109.19,0,1,2,1,1,0
21,-8.077.502,-34.899.303,123.256.666.666.667,911.566.666.666.667,118.49,129.19,134.123.333.333.333,136.556.666.666.667,2,0,1,0,3,2
2304,-8.066.436,-34.893.555,119.09,132.323.333.333.333,129.023.333.333.333,120.79,120.09,114.323.333.333.333,0,1,3,1,0,0
2212,-8.066.996,-34.893.829,125.29,132.823.333.333.333,130.256.666.666.667,122.49,124.123.333.333.333,107.59,0,1,3,1,0,0
2706,-8.063.772,-34.897.038,126.19,109.99,126.34,116.39,126.14,112.49,1,2,3,2,1,0
1592,-8.069.596,-349.007,127.49,127.39,117.39,127.456.666.666.667,131.356.666.666.667,120.123.333.333.333,1,1,2,1,2,1
1443,-8.069.985,-34.897.453,107.64,118.84,119.29,110.69,116.59,110.19,1,1,2,1,1,1
1245,-8.070.731,-34.892.284,103.19,129.323.333.333.333,122.923.333.333.333,111.79,107.323.333.333.333,127.29,0,1,3,1,1,1
415,-8.075.447,-34.892.899,116.523.333.333.333,132.023.333.333.333,131.09,108.723.333.333.333,129.99,134.556.666.666.667,1,0,3,0,2,2
2560,-8.064.991,-34.894.054,132.29,112.523.333.333.333,128.123.333.333.333,128.09,117.29,114.823.333.333.333,0,2,3,2,0,0
2470,-8.065.681,-34.892.601,138.59,126.09,127.89,127.723.333.333.333,118.523.333.333.333,115.856.666.666.667,0,2,3,2,0,0
1100,-8.071.592,-34.900.784,122.29,118.89,121.923.333.333.333,117.823.333.333.333,135.756.666.666.667,129.89,1,1,1,1,2,1
990,-8.072.378,-34.892.342,110.223.333.333.333,116.656.666.666.667,123.023.333.333.333,923.566.666.666.667,968.233.333.333.333,131.123.333.333.333,0,0,3,0,1,1
347,-8.075.751,-34.899.929,119.556.666.666.667,120.99,119.99,130.79,135.556.666.666.667,141.023.333.333.333,2,1,1,1,2,2
1673,-8.069.371,-34.898.918,110.856.666.666.667,113.723.333.333.333,117.656.666.666.667,112.79,120.423.333.333.333,106.99,1,1,2,1,2,1
1963,-8.068.603,-34.896.492,108.99,117.923.333.333.333,116.123.333.333.333,109.19,118.69,105.723.333.333.333,0,1,2,1,1,0
1570,-8.069.642,-34.894.775,99.515,121.015,121.465,113.765,106.94,111.165,0,1,2,1,1,1
2108,-8.067.963,-34.900.387,104.99,112.74,108.69,108.94,118.74,101.54,1,1,2,1,2,1
566,-8.074.356,-34.900.341,122.623.333.333.333,115.856.666.666.667,110.79,121.856.666.666.667,138.123.333.333.333,130.623.333.333.333,1,1,1,1,2,2
2554,-8.065.003,-34.885.441,119.756.666.666.667,132.456.666.666.667,139.456.666.666.667,123.456.666.666.667,118.09,135.89,1,2,5,2,0,1
1767,-8.069.141,-34.891.319,118.656.666.666.667,131.823.333.333.333,130.223.333.333.333,117.823.333.333.333,870.233.333.333.333,136.756.666.666.667,0,1,3,1,0,1
2347,-8.066.082,-34.888.832,125.64,137.04,132.565,127.84,104.115,141.54,0,2,4,2,0,1
595,-8.074.224,-34.890.263,103.223.333.333.333,142.323.333.333.333,124.39,121.89,122.556.666.666.667,136.223.333.333.333,988.774.713.770.393,0,3,0,1,2
2675,-806.393,-34.889.126,125.49,130.99,132.165,134.465,131.94,140.415,1,2,4,2,0,1
1107,-8.071.556,-34.900.784,118.556.666.666.667,113.89,118.79,116.29,134.056.666.666.667,129.523.333.333.333,1,1,1,1,2,1
1954,-8.068.623,-34.897.186,112.79,117.04,118.19,111.04,129.99,109.79,0,1,2,1,1,0
2690,-8.063.861,-34.894.207,134.723.333.333.333,118.99,130.323.333.333.333,131.29,139.49,122.356.666.666.667,0,2,3,2,1,0
2759,-8.063.457,-34.886.429,126.99,137.623.333.333.333,142.123.333.333.333,135.39,146.59,145.956.666.666.667,1,3,5,3,0,1
384,-8.075.522,-34.900.009,122.64,112.09,123.59,125.39,136.64,139.49,2,1,1,1,2,2
1876,-8.068.832,-34.900.352,105.29,113.323.333.333.333,119.69,120.156.666.666.667,125.756.666.666.667,101.29,1,1,2,1,2,1
2047,-8.068.357,-34.899.361,110.79,112.29,119.39,104.123.333.333.333,121.956.666.666.667,106.856.666.666.667,1,1,2,1,2,1
2760,-8.063.421,-34.888.821,119.256.666.666.667,129.39,136.99,133.29,129.023.333.333.333,136.023.333.333.333,1,2,4,2,0,1
2659,-8.064.014,-34.894.512,137.756.666.666.667,113.423.333.333.333,128.19,133.656.666.666.667,129.423.333.333.333,121.523.333.333.333,0,2,3,2,1,0
2333,-806.621,-34.889.225,124.04,134.44,132.29,122.64,92.04,139.89,0,2,4,2,0,1
812,-8.072.911,-34.895.523,95.39,125.123.333.333.333,90.29,107.59,119.556.666.666.667,128.123.333.333.333,1,0,2,0,1,1
1315,-80.705,-34.900.902,121.19,128.74,127.14,122.64,128.79,126.89,1,1,1,1,2,1
505,-8.074.732,-34.900.272,117.656.666.666.667,117.023.333.333.333,116.256.666.666.667,127.123.333.333.333,138.49,136.723.333.333.333,1,1,1,1,2,2
2717,-8.063.701,-34.896.912,133.29,105.49,130.79,121.94,124.39,113.84,1,2,3,2,1,0
119,-8.076.956,-34.897.385,118.723.333.333.333,838.566.666.666.667,128.623.333.333.333,120.956.666.666.667,130.123.333.333.333,139.523.333.333.333,1,0,2,0,2,2
1349,-8.070.385,-34.897.194,96.79,117.94,119.64,111.19,122.54,113.24,0,1,2,1,1,1
2303,-806.644,-34.889.587,126.69,124.923.333.333.333,133.723.333.333.333,107.156.666.666.667,105.756.666.666.667,140.99,0,2,4,2,0,1
2944,-8.059.566,-34.906.521,137.09,130.84,131.14,131.74,136.39,129.54,3,4,3,4,3,2
176,-8.076.526,-34.896.305,113.69,91.39,132.09,117.04,133.44,135.44,1,0,2,0,2,2
2894,-8.061.462,-34.902.924,133.623.333.333.333,114.956.666.666.667,130.156.666.666.667,134.49,129.79,129.856.666.666.667,2,3,3,3,2,1
495,-807.481,-34.890.869,124.39,125.056.666.666.667,130.623.333.333.333,98.49,129.123.333.333.333,145.123.333.333.333,1,0,3,0,1,2
2602,-8.064.569,-34.893.421,131.39,121.84,130.94,120.09,125.74,121.94,0,2,3,2,0,0
2050,-806.833,-34.896.645,106.44,103.99,107.19,92.19,117.19,109.34,0,1,2,1,1,0
1812,-8.069.006,-34.899.876,101.09,113.19,119.59,109.99,116.19,103.756.666.666.667,1,1,2,1,2,1
125,-8.076.917,-34.899.548,123.156.666.666.667,109.423.333.333.333,121.923.333.333.333,134.39,133.556.666.666.667,138.69,2,1,1,1,2,2
2118,-8.067.885,-34.890.522,118.94,128.09,127.24,110.115,98.865,128.015,0,1,3,1,0,1
1703,-8.069.289,-34.900.589,126.923.333.333.333,125.323.333.333.333,124.056.666.666.667,128.09,131.39,117.356.666.666.667,1,1,2,1,2,1
652,-8.073.855,-34.898.685,118.89,102.415,89.015,107.715,132.615,133.19,1,0,1,0,2,2
194,-8.076.431,-34.896.008,115.956.666.666.667,108.956.666.666.667,130.59,118.59,126.123.333.333.333,142.123.333.333.333,1,0,2,0,2,2
2537,-8.065.147,-34.897.022,122.29,101.423.333.333.333,120.39,970.233.333.333.333,122.356.666.666.667,108.79,1,2,3,2,1,0
2129,-806.778,-34.900.604,108.79,108.19,110.59,104.89,115.656.666.666.667,111.323.333.333.333,1,2,2,2,2,1
280,-8.076.112,-34.894.768,115.323.333.333.333,100.423.333.333.333,130.69,106.723.333.333.333,133.79,135.69,1,0,2,0,2,2
1961,-8.068.607,-34.889.557,128.723.333.333.333,133.056.666.666.667,136.556.666.666.667,115.823.333.333.333,109.69,133.556.666.666.667,0,1,4,1,0,1
2873,-8.062.162,-34.901.833,127.823.333.333.333,115.856.666.666.667,132.09,128.79,127.256.666.666.667,118.923.333.333.333,2,3,3,3,2,1
1434,-8.070.005,-34.897.434,104.94,113.89,121.54,108.29,118.49,106.69,1,1,2,1,1,1
2030,-8.068.453,-34.896.824,109.59,124.09,115.956.666.666.667,115.056.666.666.667,120.39,117.59,0,1,2,1,1,0
817,-8.072.897,-34.896.633,101.74,117.94,121.14,95.44,120.49,128.59,1,0,2,0,2,1
2178,-8.067.166,-34.894.138,122.656.666.666.667,121.756.666.666.667,125.156.666.666.667,122.156.666.666.667,124.556.666.666.667,104.69,0,1,3,1,0,0
2938,-8.059.994,-34.906.029,137.54,134.19,133.39,130.24,138.64,130.39,3,3,3,3,3,2
283,-80.761,-34.899.815,118.09,109.39,116.456.666.666.667,132.056.666.666.667,135.29,138.656.666.666.667,2,1,1,1,2,2
2438,-8.065.793,-34.889.816,136.056.666.666.667,131.723.333.333.333,136.623.333.333.333,124.69,101.956.666.666.667,131.256.666.666.667,0,2,4,2,0,0
331,-8.075.845,-3.489.991,127.09,114.59,122.99,131.956.666.666.667,139.49,142.323.333.333.333,2,1,1,1,2,2
2924,-8.060.699,-34.905.231,135.34,121.128.888.888.889,131.362.222.222.222,127.145.555.555.556,128.956.666.666.667,134.851.111.111.111,2,3,3,3,3,2
798,-8.072.939,-34.895.676,105.29,121.523.333.333.333,106.556.666.666.667,108.756.666.666.667,122.556.666.666.667,126.123.333.333.333,1,0,2,0,1,1
247,-8.076.291,-34.896.008,123.623.333.333.333,111.756.666.666.667,135.023.333.333.333,128.89,134.423.333.333.333,139.09,1,0,2,0,2,2
2748,-8.063.548,-34.895.119,136.29,104.84,127.59,130.09,128.94,115.89,1,2,3,2,1,0
24,-8.077.494,-34.899.319,118.59,102.34,109.89,131.59,133.64,137.59,2,0,1,0,3,2
1746,-8.069.201,-34.895.741,106.456.666.666.667,128.256.666.666.667,120.79,109.49,115.923.333.333.333,122.29,0,1,2,1,1,0
